NAME,'CPM_12_87_09_NIIJAF','CPM_12_88_3_niijaf','CPM_12_88_3_alternativa','CPM_12_90_5_kontur',CPM_'20_88___miks','CPM_21_89_2_niijaf','CPM_21_89_2_niijaf2','CPM_21_89___wiza','CPM_21_91___LAP','CPM_21m_____Shkanov'
INFO_TEMPLATE,cpm1,cpm1,cpm1,cpm1,cpm1,cpm1,cpm1,cpm1,cpm1,cpm1
INFO_IMAGES_COUNT,2,78,100025,4,4,28,36,42,4,2
ROMCHECK,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY,RQ_OPTS_ANY
_CPM1_BIOS_LOGO,0xDAEE,0xDAEE,0xDAEE,0xDAEF,0xDAEE,0xDAEE,0xDAEE,0xDAEE,0xDAEE,0xDAEE
_CPM1_PPI2C_BIOS_INIT,0xE738,0xE077,0xE077,0xE09B,0xE3DC,0xE48E,0xE487,0xE49F,0xE0D2,0xE135
_CPM1_DRVREG_A,0xDA88,0xDA88,0xDA88,0xDA88,0xDA88,0xDA89,0xDA89,0xDA89,0xDA88,0xDA89
_CPM1_DRVREG_B,0xDA9F,0xDA9F,0xDA9F,0xDA9F,0xDA9F,0xDAA0,0xDAA0,0xDAA0,0xDA9F,0xDAA0
_CPM1_DRVREG_C,0xDAB6,0xDAB6,0xDAB6,0xDAB6,0xDAB6,0xDAB7,0xDAB7,0xDAB7,0xDAB6,0xDAB7
_CPM1_DRVREG_D,0xDACD,0xDACD,0xDACD,0xDACD,0xDACD,0xDACE,0xDACE,0xDACE,0xDACD,0xDACE
,,,,,,,,,,
_CPM1_DPH_TABLE,0xDCFA,0xDCBF,0xDCBF,0xDCB6,0xDCD0,0xDCBB,0xDCBB,0xDCCC,0xDCF2,0xDCB5
_CPM1_DIR_BUF,0xDFDF,0xEBA6,0xEBA6,0xEBA6,0xEBA6,0xEBA6,0xEBA6,0xEBA6,0xEBA6,0xEBA6
,,,,,,,,,,
_CPM1_SELDSK_STORE_DRV,0xE531,0xE63E,0xE63E,0xE6C0,0xE64F,0xE6F9,0xE6F2,0xE70A,0xE69F,0xE6FE
_CPM1_SELDSK_ADDR,0xDCB6,0xDC7B,0xDC7B,0xDC72,0xDC8C,0xDC7C,0xDC7C,0xDC8D,0xDCAE,0xDC73
_CPM1_CURRENT_DISK_PTR,0xDFCD,0xDF92,0xDF92,0xDFB6,0xDFA3,0xE05D,0xE056,0xE06E,0xDFED,0xE058
,,,,,,,,,,
_CPM1_BIOS_WRITE,0xDE4F,0xDE14,0xDE14,0xDE22,0xDE25,0xDE9E,0xDE97,0xDEAF,0xDE47,0xDE99
_CPM1_BIOS_READ,0xDD19,0xDCDE,0xDCDE,0xDCD5,0xDCEF,0xDCDA,0xDCDA,0xDCEB,0xDD11,0xDCD5
_CPM1_WBOOT_READ_CALL,0xDB6D,0xDB74,0xDB74,0xDB6B,0xDB85,0xDB73,0xDB73,0xDB84,0xDB5F,0xDB6A
,,,,,,,,,,
_CPM1_SELDSK_GETINFO_CALL,0xDCE8,0xDCAD,0xDCAD,0xdca4,0xdcbe,0xdcae,0xdcae,0xdcbf,0xdce0,0xdca8
_CPM1_BIOS_GETINFO,0xE467,0xE574,0xE574,0xE5F6,0xE585,0xE637,0xE630,0xE648,0xE5D5,0xE632
,,,,,,,,,,
_CPM1_GETINFO_POSTDTOM_ADDR,0xE4A7,0xE5B4,0xE5B4,0xE636,0xE5C5,0xE66E,0xE667,0xE67F,0xE615,0xE669
_CPM1_GETINFO_POSTDTOM_CHKW,0xE4D7,0xE5E4,0xE5E4,0xE666,0xE5F5,0xE69E,0xE697,0xE6AF,0xE645,0xE6A3
,,,,,,,,,,
_CPM1_BIOS_VAR_DSK,0xDFC3,0xDF88,0xDF88,0xDFAC,0xDF99,0xE053,0xE04C,0xE064,0xDFE3,0xE04E
_CPM1_BIOS_VAR_TRK,0xDFC7,0xDF8C,0xDF8C,0xDFB0,0xDF9D,0xE057,0xE050,0xE068,0xDFE7,0xE052
_CPM1_BIOS_VAR_SEC,0xDFC8,0xDF8D,0xDF8D,0xDFB1,0xDF9E,0xE058,0xE051,0xE069,0xDFE8,0xE053
