NAME,'CPM_12_87_11_niijaf','CPM_1x_88_EPSON_V104','CPM_1x_89_03_30_RAVI'
INFO_TEMPLATE,cpm2,cpm2,cpm2
INFO_IMAGES_COUNT,3,1,17
ROMCHECK,RQ_OPTS_ANY,RQ_OPTS1,RQ_OPTS1
_CPM2_BIOS_LOGO,0xDAEE,0xDAEE,0xDAEE
_CPM2_PPI2C_BIOS_INIT,0xE30E,0xE8B7,0xE8B8
_CPM2_DRVREG_A,0xDA88,0xDA88,0xDA88
_CPM2_DRVREG_B,0xDA9F,0xDA9F,0xDA9F
_CPM2_DRVREG_C,0xDAB6,0xDAB6,0xDAB6
_CPM2_DRVREG_D,0xDACD,0xDACD,0xDACD
,,,
_CPM2_DPH_TABLE,0xDCF6,0xDEC6,0xDEC6
_CPM2_DIR_BUF,0xDFDB,0xE1AB,0xE1AB
,,,
_CPM2_SELDSK_STORE_DRV,0xE789,0xE6DE,0xE6DF
_CPM2_SELDSK_ADDR,0xDCB2,0xDE82,0xDE82
_CPM2_CURRENT_DISK_PTR,0xDFC9,0xE199,0xE199
,,,
_CPM2_BIOS_WRITE,0xDE4B,0xE01B,0xE01B
_CPM2_BIOS_READ,0xDD15,0xDEE5,0xDEE5
_CPM2_WBOOT_READ_CALL,0xDB70,0xDBC2,0xDBC2
,,,
_CPM2_SELDSK_GETINFO_CALL,0xDCE4,0xdeb4,0xdeb4
_CPM2_BIOS_GETINFO,0xE6BF,0xE614,0xE615
,,,
_CPM2_GETINFO_POSTDTOM_ADDR,0xE6FF,0xE654,0xE655
_CPM2_GETINFO_POSTDTOM_CHKW,0xe72F,0xE684,0xE685
,,,
_CPM2_BIOS_VAR_DSK,0xDFBF,0xE18F,0xE18F
_CPM2_BIOS_VAR_TRK,0xDFC3,0xE193,0xE193
_CPM2_BIOS_VAR_SEC,0xDFC4,0xE194,0xE194
_CPM2_BIOS_VAR_DMA,0xDFC5,0xE195,0xE195
,,,
#_CPM2_VINTKBDADDR,0xE266,0xE842,0xE843
#_CPM2_VINTKBDVALUE,0xDC59,0xDCAD,0xDCAD
#_CPM2_KBD_HOOK_PROC,_CPM2_kbd_hook_noCtrl_33,_CPM2_kbd_hook_noCtrl_03,_CPM2_kbd_hook_noCtrl_03
,,,
CUSTOM_CHECKERS01A,,,
CUSTOM_CHECKERS01V,,,
CUSTOM_CHECKERS02A,,,
CUSTOM_CHECKERS02V,,,
CUSTOM_CHECKERS03A,,,
CUSTOM_CHECKERS03V,,,
CUSTOM_CHECKERS04A,,,
CUSTOM_CHECKERS04V,,,
CUSTOM_CHECKERS05A,,,
CUSTOM_CHECKERS05V,,,
CUSTOM_CHECKERS06A,,,
CUSTOM_CHECKERS06V,,,
